game_round,map,latency,player_id,player_ip,score
1,aggressor,0.0,1,Player_172.19.137.208,86.0
1,aggressor,0.0,2,Player_172.19.114.48,87.0
1,aggressor,0.0,3,Player_172.19.119.51,81.0
1,aggressor,0.0,4,Player_172.19.116.18,24.0
1,aggressor,0.0,5,Player_172.19.120.104,83.0
1,aggressor,0.0,6,Player_172.19.117.18,77.0
2,wrackdm17,0.0,1,Player_172.19.137.208,162.0
2,wrackdm17,0.0,2,Player_172.19.114.48,158.0
2,wrackdm17,0.0,3,Player_172.19.119.51,165.0
2,wrackdm17,0.0,4,Player_172.19.116.18,120.0
2,wrackdm17,0.0,5,Player_172.19.120.104,160.0
2,wrackdm17,0.0,6,Player_172.19.117.18,164.0
3,aggressor,0.0,1,Player_172.19.137.208,240.0
3,aggressor,0.0,2,Player_172.19.114.48,251.0
3,aggressor,0.0,3,Player_172.19.119.51,239.0
3,aggressor,0.0,4,Player_172.19.116.18,242.0
3,aggressor,0.0,5,Player_172.19.120.104,248.0
3,aggressor,0.0,6,Player_172.19.117.18,249.0
4,wrackdm17,0.0,1,Player_172.19.137.208,322.0
4,wrackdm17,0.0,2,Player_172.19.114.48,318.0
4,wrackdm17,0.0,3,Player_172.19.119.51,323.0
4,wrackdm17,0.0,4,Player_172.19.116.18,304.0
4,wrackdm17,0.0,5,Player_172.19.120.104,310.0
4,wrackdm17,0.0,6,Player_172.19.117.18,325.0
5,kaos2,0.0,1,Player_172.19.137.208,0.0
5,kaos2,0.0,2,Player_172.19.114.48,0.0
5,kaos2,0.0,3,Player_172.19.119.51,333.0
5,kaos2,0.0,4,Player_172.19.116.18,0.0
5,kaos2,0.0,5,Player_172.19.120.104,0.0
5,kaos2,0.0,6,Player_172.19.117.18,0.0
6,aggressor,200.0,1,Player_172.19.137.208,380.0
6,aggressor,200.0,2,Player_172.19.114.48,399.0
6,aggressor,200.0,3,Player_172.19.119.51,400.0
6,aggressor,200.0,4,Player_172.19.116.18,395.0
6,aggressor,200.0,5,Player_172.19.120.104,403.0
6,aggressor,200.0,6,Player_172.19.117.18,390.0
7,wrackdm17,200.0,1,Player_172.19.137.208,441.0
7,wrackdm17,200.0,2,Player_172.19.114.48,462.0
7,wrackdm17,200.0,3,Player_172.19.119.51,460.0
7,wrackdm17,200.0,4,Player_172.19.116.18,0.0
7,wrackdm17,200.0,5,Player_172.19.120.104,456.0
7,wrackdm17,200.0,6,Player_172.19.117.18,450.0
8,aggressor,200.0,1,Player_172.19.137.208,549.0
8,aggressor,200.0,2,Player_172.19.114.48,547.0
8,aggressor,200.0,3,Player_172.19.119.51,545.0
8,aggressor,200.0,4,Player_172.19.116.18,541.0
8,aggressor,200.0,5,Player_172.19.120.104,550.0
8,aggressor,200.0,6,Player_172.19.117.18,0.0
9,wrackdm17,200.0,1,Player_172.19.137.208,617.0
9,wrackdm17,200.0,2,Player_172.19.114.48,621.0
9,wrackdm17,200.0,3,Player_172.19.119.51,616.0
9,wrackdm17,200.0,4,Player_172.19.116.18,0.0
9,wrackdm17,200.0,5,Player_172.19.120.104,620.0
9,wrackdm17,200.0,6,Player_172.19.117.18,594.0
10,kaos2,200.0,1,Player_172.19.137.208,0.0
10,kaos2,200.0,2,Player_172.19.114.48,626.0
10,kaos2,200.0,3,Player_172.19.119.51,0.0
10,kaos2,200.0,4,Player_172.19.116.18,0.0
10,kaos2,200.0,5,Player_172.19.120.104,0.0
10,kaos2,200.0,6,Player_172.19.117.18,0.0
11,aggressor,50.0,1,Player_172.19.137.208,709.0
11,aggressor,50.0,2,Player_172.19.114.48,703.0
11,aggressor,50.0,3,Player_172.19.119.51,701.0
11,aggressor,50.0,4,Player_172.19.116.18,651.0
11,aggressor,50.0,5,Player_172.19.120.104,708.0
11,aggressor,50.0,6,Player_172.19.117.18,707.0
12,wrackdm17,50.0,1,Player_172.19.137.208,764.0
12,wrackdm17,50.0,2,Player_172.19.114.48,774.0
12,wrackdm17,50.0,3,Player_172.19.119.51,772.0
12,wrackdm17,50.0,4,Player_172.19.116.18,725.0
12,wrackdm17,50.0,5,Player_172.19.120.104,773.0
12,wrackdm17,50.0,6,Player_172.19.117.18,743.0
13,aggressor,50.0,1,Player_172.19.137.208,863.0
13,aggressor,50.0,2,Player_172.19.114.48,865.0
13,aggressor,50.0,3,Player_172.19.119.51,860.0
13,aggressor,50.0,4,Player_172.19.116.18,852.0
13,aggressor,50.0,5,Player_172.19.120.104,856.0
13,aggressor,50.0,6,Player_172.19.117.18,858.0
14,wrackdm17,50.0,1,Player_172.19.137.208,920.0
14,wrackdm17,50.0,2,Player_172.19.114.48,932.0
14,wrackdm17,50.0,3,Player_172.19.119.51,930.0
14,wrackdm17,50.0,4,Player_172.19.116.18,0.0
14,wrackdm17,50.0,5,Player_172.19.120.104,928.0
14,wrackdm17,50.0,6,Player_172.19.117.18,922.0
15,kaos2,50.0,1,Player_172.19.137.208,0.0
15,kaos2,50.0,2,Player_172.19.114.48,0.0
15,kaos2,50.0,3,Player_172.19.119.51,939.0
15,kaos2,50.0,4,Player_172.19.116.18,937.0
15,kaos2,50.0,5,Player_172.19.120.104,0.0
15,kaos2,50.0,6,Player_172.19.117.18,936.0
16,aggressor,150.0,1,Player_172.19.137.208,1031.0
16,aggressor,150.0,2,Player_172.19.114.48,1036.0
16,aggressor,150.0,3,Player_172.19.119.51,1030.0
16,aggressor,150.0,4,Player_172.19.116.18,1034.0
16,aggressor,150.0,5,Player_172.19.120.104,1035.0
16,aggressor,150.0,6,Player_172.19.117.18,1034.0
17,wrackdm17,150.0,1,Player_172.19.137.208,1090.0
17,wrackdm17,150.0,2,Player_172.19.114.48,1095.0
17,wrackdm17,150.0,3,Player_172.19.119.51,1099.0
17,wrackdm17,150.0,4,Player_172.19.116.18,1098.0
17,wrackdm17,150.0,5,Player_172.19.120.104,1085.0
17,wrackdm17,150.0,6,Player_172.19.117.18,1065.0
18,aggressor,150.0,1,Player_172.19.137.208,1165.0
18,aggressor,150.0,2,Player_172.19.114.48,1173.0
18,aggressor,150.0,3,Player_172.19.119.51,1167.0
18,aggressor,150.0,4,Player_172.19.116.18,1155.0
18,aggressor,150.0,5,Player_172.19.120.104,1174.0
18,aggressor,150.0,6,Player_172.19.117.18,1164.0
19,wrackdm17,150.0,1,Player_172.19.137.208,1234.0
19,wrackdm17,150.0,2,Player_172.19.114.48,1235.0
19,wrackdm17,150.0,3,Player_172.19.119.51,1223.0
19,wrackdm17,150.0,4,Player_172.19.116.18,1228.0
19,wrackdm17,150.0,5,Player_172.19.120.104,1232.0
19,wrackdm17,150.0,6,Player_172.19.117.18,1219.0
